"vehicle_id","stock_number","year","make","model","miles","trim","sold_price","discounted_sold_price","partnered_dealership","delivery_fee","earliest_delivery_date","sold_date"
"2388462","2001823541","2016","Ford","Focus","77108","SE","14590","14590","False","490","2022-08-11T16:29:53.448Z","2022-08-05"
"2286247","2001667534","2013","Ford","Escape","77113","SE","15990","15990","False","0","2022-08-11T21:29:53.6793427Z","2022-08-05"
"2303489","2001684629","2014","Acura","MDX","60756","SH-AWD","26990","26990","False","590","2022-08-11T16:30:59.205Z","2022-08-05"
"2365397","2001796217","2021","Kia","Forte","31296","GT-Line","24990","24990","False","790","2022-08-11T20:58:39.2539386Z","2022-08-05"
"2385404","2001816838","2012","Volkswagen","GTI","89077","2.0T Hatchback","16990","16990","False","590","2022-08-11T22:04:59.5658362Z","2022-08-05"
"2233575","2001557136","2016","Chevrolet","Cruze Limited","86336","1LT","13990","13990","False","490","2022-08-11T22:04:37.7696343Z","2022-08-05"
"2253063","2001616654","2016","Ford","Escape","46003","SE","18990","18990","False","1490","2022-08-11T21:35:47.9277626Z","2022-08-05"
"2404501","2001842224","2021","Tesla","Model Y","4538","Performance","71990","71990","False","490","2022-08-11T17:01:41.166Z","2022-08-05"
"2401495","2001835693","2012","Jeep","Liberty","88013","Limited Edition","15990","15990","False","0","2022-08-11T17:04:51.334Z","2022-08-05"
"2318828","2001712545","2015","Kia","Soul","50516","base","15590","15590","False","190","2022-08-12T15:33:07.477Z","2022-08-05"
