"locationid","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"nimessupercharger","Nîmes Supercharger","supercharger","NIMES - C-Suite Hotel 152 rue Claude Nicolas Ledoux 30900 Nimes, France","Nimes","","30900","France","europe","43.815364","4.344721","false","2022-05-22 12:06:19 PDT"
"oakvilletoronto","Toronto-Oakville","store","225 Wyecroft Road  Oakville, ON L6K 3S3","Oakville","ON","L6K 3S3","Canada","north_america","43.44779","-79.694832","false","2022-05-22 12:06:19 PDT"
"dc18581","Ristorante Pio Nono","destination charger","Via Iseo, 37,  25030  Erbusco, Italy","Erbusco","","25030","Italy","europe","45.59484","10.001368","false","2022-05-22 12:06:19 PDT"
"dc18580","Villa Fenaroli Palace Hotel","destination charger","Via Giuseppe Mazzini, 14, 25086  Rezzato, Italy","Rezzato","","25086","Italy","europe","45.512146","10.311645","false","2022-05-22 12:06:19 PDT"
"dc18574","Holiday Inn & Suites Houston West - Katy Mills","destination charger","25406 Katy Mills Pkwy Katy, Texas 77077","Katy","Texas","77077","United States","north_america","29.776238","-95.814941","false","2022-05-22 12:06:19 PDT"
"dc29232","Restaurant DEL ARTE Ploërmel","destination charger","Rue de Ronsouze, Ploërmel ,  56800 France, Ploërmel 56800 France","Ploërmel","","56800","France","europe","47.921466","-2.387227","false","2022-05-22 12:06:19 PDT"
"dc1983","Beaver Motel","destination charger","412 Hwy 11/17 Nipigon, Ontario P0T 2J0","Nipigon","Ontario","P0T 2J0","Canada","north_america","49.016449","-88.311198","false","2022-05-22 12:06:19 PDT"
"dc43533","Elderton Wines","destination charger","3 Tanunda Road Nuriootpa SA 5355","Nuriootpa","","SA 5355","Australia","asia_pacific","-34.475578","138.995498","false","2022-05-22 12:06:19 PDT"
"dc20893","Skjåk Turistheim","destination charger","Skjåkvegen 1184 , 2698 Skjåk, Norway","Skjåk","","2698","Norway","europe","61.882858","8.26967","false","2022-05-22 12:06:19 PDT"
"dc18582","Ristorante La Colombera","destination charger","Via Barussa, 1, 25030 Castrezzato, Italy","Castrezzato","","25030","Italy","europe","45.50101","9.969762","false","2022-05-22 12:06:19 PDT"
