tid	searched_zipcode	searched_lat	searched_lng	searched_address	searched_state	searched_city	searched_metro	is_gh	latitude	longitude	distance	loc_name	loc_number	url	address	cuisines	delivery_fee_raw	delivery_fee	delivery_time_raw	delivery_time	service_fee_raw	service_fee	phone	review_count	review_rating	RunDate	InsertUpdateTime	RunID	restaurant_tags	delivery_type
1173423	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67882919	-73.94986725	0.04	Chun Vegetarian	1013747	https://www.grubhub.com/chun-vegetarian-582-nostrand-ave-brooklyn/1013747	582 Nostrand Ave	["Asian", "Vegan", "Vegetarian"]	$0 delivery	0.00	35-45	40.0	{"flat_cents": 0, "basis_points": 0, "maximum_flat_amount": null, "minimum_flat_amount": null, "attr	0.00	3476278080	1710	4.70	2022-06-13 07:01:21	2022-06-13 07:03:01	47954	["PRICING_ELIGIBLE_FOR_STANDARD_ORDER", "SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"]	SELF
1173424	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67871475	-73.94987488	0.04	India House	1436488	https://www.grubhub.com/india-house-586-nostand-ave-brooklyn/1436488	586 Nostand Ave	["Chicken", "Healthy", "Indian", "Lunch Specials", "Seafood", "Vegetarian"]	$0 delivery	0.00	35-55	45.0	{"flat_cents": 0, "basis_points": 0, "maximum_flat_amount": null, "minimum_flat_amount": null, "attr	0.00	7188577011	730	4.65	2022-06-13 07:01:21	2022-06-13 07:03:01	47954	["PRICING_ELIGIBLE_FOR_STANDARD_ORDER", "SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"]	SELF
1173425	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67887878	-73.94944764	0.06	Pattie Hut	2970887	https://www.grubhub.com/pattie-hut-543-nostrand-ave-brooklyn/2970887	543 Nostrand Ave.	["Chicken", "Soup", "Wings"]	$1.99 delivery	1.99	20-35	27.5	{"flat_cents": 0, "basis_points": 1000, "maximum_flat_amount": 900, "minimum_flat_amount": null, "at	10.00	7186223222	15	3.71	2022-06-13 07:01:21	2022-06-13 07:03:01	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"]	GRUBHUB
1173426	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67863845	-73.9494629	0.07	Texas Chicken and Burgers	1087887	https://www.grubhub.com/texas-chicken-and-burgers-551-nostrand-ave-brooklyn/1087887	551 Nostrand Ave	["Chicken", "Hamburgers", "Southern", "Wings"]	$1.99 delivery	1.99	20-30	25.0	{"flat_cents": 0, "basis_points": 725, "maximum_flat_amount": 900, "minimum_flat_amount": null, "att	7.25	3472408610	215	3.91	2022-06-13 07:01:21	2022-06-13 07:03:01	47954	["PRICING_ELIGIBLE_FOR_STANDARD_ORDER", "SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"]	GRUBHUB
1173427	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67822647	-73.94944001	0.08	Scramble Town Cafe	3267095	https://www.grubhub.com/scramble-town-cafe-1306-atlantic-ave-brooklyn/3267095	1306 Atlantic Ave	["American", "Breakfast", "Healthy"]	$1.99 delivery	1.99	20-25	22.5	{"flat_cents": 0, "basis_points": 525, "maximum_flat_amount": 900, "minimum_flat_amount": null, "att	5.25	9086800283	0	0.00	2022-06-13 07:01:21	2022-06-13 07:03:01	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER", "VIRTUAL"]	GRUBHUB
1173428	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67822647	-73.94944001	0.08	Grilled & Cheesy	3221547	https://www.grubhub.com/grilled--cheesy-1306-atlantic-ave-brooklyn/3221547	1306 Atlantic Ave	["American", "Sandwiches"]	$1.99 delivery	1.99	25-45	35.0	{"flat_cents": 0, "basis_points": 525, "maximum_flat_amount": 900, "minimum_flat_amount": null, "att	5.25	7188726299	0	0.00	2022-06-13 07:01:21	2022-06-13 07:03:02	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER", "VIRTUAL"]	GRUBHUB
1173429	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67822647	-73.94944001	0.08	Wholesome Foods (Atlantic Ave)	3231515	https://www.grubhub.com/wholesome-foods-atlantic-ave-1306-atlantic-ave-brooklyn/3231515	1306 Atlantic Ave	["Breakfast", "Chicken", "Convenience", "Deli", "Grocery Items", "Hamburgers", "Healthy", "Lunch Specials", "Salads", "Sandwiches", "Vegetarian", "Wraps"]	$2.50 delivery	2.50	65-80	72.5	{"flat_cents": 0, "basis_points": 0, "maximum_flat_amount": null, "minimum_flat_amount": null, "attr	0.00	7188726299	62	4.34	2022-06-13 07:01:21	2022-06-13 07:03:02	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"]	SELF
1173430	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67822647	-73.94944001	0.08	Breakfast Beauties	3221821	https://www.grubhub.com/breakfast-beauties-1306-atlantic-ave-brooklyn/3221821	1306 Atlantic Ave	["Breakfast"]	$1.99 delivery	1.99	25-45	35.0	{"flat_cents": 0, "basis_points": 525, "maximum_flat_amount": 900, "minimum_flat_amount": null, "att	5.25	7188726299	0	0.00	2022-06-13 07:01:21	2022-06-13 07:03:02	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER", "VIRTUAL"]	GRUBHUB
1173431	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67822647	-73.94944001	0.08	Western Diner (Atlantic Ave)	2735312	https://www.grubhub.com/western-diner-atlantic-ave-1306-atlantic-ave-brooklyn/2735312	1306 Atlantic Ave	["American", "Breakfast", "Diner", "Sandwiches"]	$2.50 delivery	2.50	60-75	67.5	{"flat_cents": 0, "basis_points": 0, "maximum_flat_amount": null, "minimum_flat_amount": null, "attr	0.00	7188726299	4	3.58	2022-06-13 07:01:21	2022-06-13 07:03:02	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER", "VIRTUAL"]	SELF
1173432	11216	40.6788319	-73.9506774	300 Madison St, Brooklyn, NY 11216, USA	NY	Brooklyn	NY	$0 with GH+	40.67822647	-73.94944001	0.08	The Panini Pressery	3266633	https://www.grubhub.com/the-panini-pressery-1306-atlantic-ave-brooklyn/3266633	1306 Atlantic Ave	["American", "Fast Food", "Wraps"]	$1.99 delivery	1.99	20-25	22.5	{"flat_cents": 0, "basis_points": 525, "maximum_flat_amount": 900, "minimum_flat_amount": null, "att	5.25	9146772864	0	0.00	2022-06-13 07:01:21	2022-06-13 07:03:02	47954	["SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER", "VIRTUAL"]	GRUBHUB
