TARGET_NAME,TARGET_URL,AMAZON_NAME,AMAZON_URL,TARGET_PRICE_CURRENT,AMAZON_PRICE_CURRENT,SCORE,DEPARTMENT,CATEGORY
Boon Cacti Bottle Cleaning Brush Set,https://www.target.com/p/boon-cacti-bottle-cleaning-brush-set/-/A-76501527,Boon Cacti Bottle Cleaning Brush Set,https://www.amazon.com/dp/B082PZ44M9,14.44,14.3,1,Baby,Nursing & Feeding
Baby Trend Snap-N-Go EX Universal Infant Car Seat Carrier,https://www.target.com/p/baby-trend-snap-n-go-ex-universal-infant-car-seat-carrier/-/A-14216874,Baby Trend Snap-N-Go EX Universal Infant Car Seat Carrier,https://www.amazon.com/dp/B00838BNK2,89.99,76.35,1,Baby,Strollers
Thule Spring Car Seat Adapter,https://www.target.com/p/thule-spring-car-seat-adapter/-/A-80369241,Thule Spring Car Seat Adapter,https://www.amazon.com/dp/B08323Q356,49.99,49.95,1,Baby,Strollers
Sierra Designs High Back Micro Chair,https://www.target.com/p/sierra-designs-high-back-micro-chair/-/A-80122041,Sierra Designs High Back Micro Chair,https://www.amazon.com/dp/B09NLGDDWK,42.49,38.99,1,Home,Outdoor Living & Garden
Dyson V15 Detect Cordless Vacuum Cleaner,https://www.target.com/p/dyson-v15-detect-cordless-vacuum-cleaner/-/A-81953891,Dyson V15 Detect Cordless Vacuum Cleaner,https://www.amazon.com/dp/B0979R48CX,749.99,675,1,Home,Vacuums & Floor Cleaning
Purely Luxe Pineapple Rattle & Crinkle Set,https://www.target.com/p/purely-luxe-pineapple-rattle-38-crinkle-set/-/A-81867796,Purely Luxe Pineapple Rattle & Crinkle Set,https://www.amazon.com/dp/B099XBS4V4,8.99,8.99,1,Baby,Baby Toys
Melissa & Doug Sunny Patch Seaside Sidekicks Squirters With 4 Squeeze-and-Squirt Animals - Water Toys for Kids,https://www.target.com/p/melissa-38-doug-sunny-patch-seaside-sidekicks-squirters-with-4-squeeze-and-squirt-animals-water-toys-for-kids/-/A-13451764,Melissa & Doug Sunny Patch Seaside Sidekicks Squirters With 4 Squeeze-and-Squirt Animals - Water Toys for Kids,https://www.amazon.com/dp/B0049UZ9P8,8.99,8.99,1,Baby,Baby Toys
Melissa & Doug K's Kids Musical Farmyard Cube Educational Baby Toy,https://www.target.com/p/melissa-38-doug-k-39-s-kids-musical-farmyard-cube-educational-baby-toy/-/A-15678537,Melissa & Doug K's Kids Musical Farmyard Cube Educational Baby Toy,https://www.amazon.com/dp/B00EX5K23S,21.99,21.98,1,Baby,Baby Toys
Timber Tuff TMW-58 Log Peeler,https://www.target.com/p/timber-tuff-tmw-58-log-peeler/-/A-86784614,Timber Tuff TMW-58 Log Peeler,https://www.amazon.com/dp/B01JBZXW9K,135.99,135,1,Home,Outdoor Living & Garden
Disney Princess Activity Tote,https://www.target.com/p/disney-princess-activity-tote/-/A-53280742,Disney Princess Activity Tote,https://www.amazon.com/dp/B00NZF1PAQ,12.79,10.96,1,Home,"Arts, Crafts & Sewing"

